"sblack","shisp","swhite","sother","smale","sage","sempl","sincome","spop","daytime","inctype_lin","omajblack","omajhisp","omajwhite","omajother","osplit","sbehavior","year","anyuseofforce_coded"
0,0,1,0,1,30,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,30,1,1,4,0,2,0,0,1,0,0,1,2011,1
0,0,1,0,1,32,1,2,4,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,31,1,3,4,0,1,0,0,1,0,0,0,2011,0
0,0,1,0,1,33,1,3,4,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,30,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,33,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,34,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,34,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,31,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,32,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,33,1,3,1,0,2,0,0,0,1,0,0,2011,0
0,0,1,0,1,35,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,35,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,35,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,39,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,37,1,1,4,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,36,0,1,1,1,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,37,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,40,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,41,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,44,1,1,2,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,40,1,3,1,1,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,43,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,44,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,40,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,44,1,1,1,0,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,40,1,3,4,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,41,1,3,2,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,40,0,1,4,1,2,0,0,1,0,0,0,2011,0
